"height","weight","age","playedPositions","playedPositionsShort","name","firstName","lastName","playerId"
188,77,31,-DC-,D(C),Maksim Belyaev,Maksim,Belyaev,76796
185,81,28,-DC-,D(C),Sergey Bozhin,Sergey,Bozhin,111934
0,0,22,-DC-,D(C),Dusan Stojinovic,Dusan,Stojinovic,401462
184,74,27,-DC-,D(C),Egor Danilkin,Egor,Danilkin,143746
192,85,29,-DC-,D(C),Aleksandr Putsko,Aleksandr,Putsko,118302
192,85,29,-DC-,D(C),Ilya Kutepov,Ilya,Kutepov,115697
187,78,32,-DC-,D(C),Taras Burlak,Taras,Burlak,37420
190,82,23,-DC-,D(C),Bruno Fuchs,Bruno,de Lara Fuchs,379229
194,93,34,-DC-,D(C),Toni Sunjic,Toni,Sunjic,42540
0,0,20,-DC-,D(C),Danila Khotulev,Danila,Khotulev,410989
185,79,26,-DC-,D(C),Aleksandr Pavlovets,Aleksandr,Pavlovets,298765
192,84,37,-DC-,D(C),Vedran Corluka,Vedran,Corluka,22040
190,83,32,-DC-,D(C),Miha Mevlja,Miha,Mevlja,84014
185,83,27,-DC-,D(C),Carl Starfelt,Carl,Starfelt,378626
188,84,29,-DC-,D(C),Wilker Ángel,Wilker,Ángel,283009
189,72,31,-DC-DL-,D(CL),Evgeni Gapon,Evgeni,Gapon,271699
182,77,20,-DC-,D(C),Vadim Karpov,Vadim,Karpov,380746
180,78,27,-DC-DR-,D(CR),Oleg Kozhemyakin,Oleg,Kozhemyakin,397760
188,83,40,-DC-,D(C),Adessoye Oyewole,Adessoye,Oyewole,39652
185,79,23,-DC-,D(C),Ilya Martynov,Ilya,Martynov,411679
187,77,26,-DC-,D(C),Jimmy Tabidze,Jimmy,Tabidze,334530
192,84,35,-DMC-,DMC,Dmitriy Tarasov,Dmitriy,Tarasov,27932
196,87,31,-DC-,D(C),Solomon Kvirkvelia,Solomon,Kvirkvelia,102399
186,80,27,-DC-,D(C),Aleksey Gritsaenko,Aleksey,Gritsaenko,341314
190,80,26,-DC-,D(C),Ionut Nedelcearu,Ionut,Nedelcearu,244634
185,79,38,-DC-DL-,D(CL),Pavel Alikin,Pavel,Alikin,58544
184,74,32,-DC-DR-,D(CR),Nikita Chicherin,Nikita,Chicherin,41981
184,75,33,-DC-,D(C),Azat Bayryev,Azat,Bayryev,120409
189,85,29,-DC-,D(C),Patricio Matricardi,Patricio,Matricardi,144248
0,0,25,-DC-,D(C),Denis Kaykov,Denis,Kaykov,411394
191,88,34,-DC-,D(C),Slobodan Rajkovic,Slobodan,Rajkovic,33071
189,0,21,-DC-,D(C),Zurab Gigashvili,Zurab,Gigashvili,407622
183,68,31,-DC-DR-MR-,"D(CR),M(R)",Arseni Logashov,Arseni,Logashov,73855
191,85,33,-DC-,D(C),Jón Fjóluson,Jón,Fjóluson,131153
189,80,26,-DC-,D(C),Zvonimir Sarlija,Zvonimir,Sarlija,378561
187,82,30,-DC-,D(C),Edi Gotlieb,Edi,Gotlieb,130915
184,74,31,-DC-DL-DR-,D(CLR),Denis Polyakov,Denis,Polyakov,74747
184,72,24,-DC-DR-,D(CR),Nikita Kalugin,Nikita,Kalugin,341479
187,77,36,-DC-,D(C),Ragnar Sigurdsson,Ragnar,Sigurdsson,25758
190,82,26,-DC-,D(C),Saveli Kozlov,Saveli,Kozlov,370919
186,74,35,-DC-,D(C),Mikhail Sivakov,Mikhail,Sivakov,28364
188,85,34,-DC-,D(C),Maciej Wilusz,Maciej,Wilusz,141734
180,70,19,"",Midfielder,Timofey Kalistratov,Timofey,Kalistratov,395474
185,75,20,"",Midfielder,Vilyam Rogava,Vilyam,Rogava,395480
180,78,20,"",Midfielder,Kaiky Naves,Kaiky,Marques Naves,429471
188,81,19,"",Defender,Michel,Michel Augusto,Modesto Rafael dos Santos,416888
189,85,31,-DC-,D(C),Robert Arboleda,Robert,Arboleda,318478
187,80,28,-DC-DL-,D(CL),Juninho,José Carlos,Ferreira Júnior,285541
184,75,22,"",Defender,Lucas Freitas,Lucas,de Freitas Molarinho Chagas,409317
183,74,29,-DC-DMC-DR-,"D(CR),DMC",Rodrigo Caio,Rodrigo Caio,Coquette Russo,102464
185,83,27,-DC-,D(C),Léo Ortiz,Leonardo,Rech Ortiz,355684
178,70,28,-DR-,D(R),Daniel Guedes,Daniel,Guedes da Silva,247903
197,89,21,-DC-,D(C),Kaique Rocha,Kaique,Rocha Lima,366432
180,78,27,-DC-,D(C),Marcelo Benevenuto,Marcelo,da Conceição Benevenuto Malaquias,318866
196,89,29,-DC-,D(C),Gustavo Henrique,Gustavo Henrique,Vernes,114595
190,89,34,-DC-,D(C),Luiz Otávio,Luiz Otávio,Anacleto Leandro,355664
185,86,29,-DC-,D(C),Gustavo Gómez,Gustavo,Gómez,103383
184,83,20,"",Defender,João Vialle,João Victor,Dall´Stella Vialle,429550
188,82,25,-DC-,D(C),Nino,Marcílio Florencio,Mota Filho,373523
188,86,35,-DC-,D(C),David Braz,David,Braz de Oliveira Filho,40768
187,77,24,-DC-,D(C),João Victor,João Victor,da Silva Marcelino,373848
184,76,24,-DC-,D(C),Danilo Boza,Danilo,Boza Junior,417439
185,79,28,-DC-,D(C),Emiliano Velázquez,Emiliano,Velázquez,120114
194,86,30,-DC-,D(C),Luiz Otávio,Luiz Otávio,da Silva Santos,298909
184,78,31,-DC-,D(C),Didi,Vinicius José,Ignácio,300940
190,90,26,-DC-,D(C),Fabrício Bruno,Fabrício Bruno,Soares de Faria,317681
187,87,34,-DC-,D(C),Víctor Cuesta,Víctor,Cuesta,125957
187,79,29,-DC-,D(C),Luiz Felipe,Luiz Felipe,do Nascimento dos Santos,317668
186,85,26,-DC-,D(C),Eduardo Bauermann,Eduardo Gabriel,dos Santos Bauermann,280443
193,82,28,-DC-,D(C),Germán Conti,Germán,Conti,128566
185,96,34,-DC-,D(C),Thiago Heleno,Thiago Heleno,Henrique Ferreira,20938
188,81,27,-DC-,D(C),Pedro Henrique,Pedro Henrique,Ribeiro Gonçalves,149561
187,79,29,-DC-,D(C),Klaus,William,Klaus,355708
189,86,29,-DC-,D(C),Luan Garcia,Luan,Garcia Teixeira,119540
188,84,27,-DC-,D(C),Léo Pereira,Leonardo,Pereira,146761
190,78,30,-DC-,D(C),Ricardo Silva,Ricardo César,Dantas da Silva,140572
186,75,23,-DC-,D(C),Vitor Mendes,Vitor,Mendes Alves,378598
194,88,36,-DC-DMC-,"D(C),DMC",Felipe Santana,Felipe Augusto,Santana,28839
187,82,36,-DC-,D(C),Paulão,Paulo Marcos,de Jesus Ribeiro,82123
190,90,27,-DC-,D(C),Igor Rabello,Igor,Rabello da Costa,246393
184,0,26,-DC-,D(C),Sabino,José Sabino,Chagas Monteiro,397496
186,78,38,-DC-,D(C),Miranda,João,Miranda de Souza Filho,22504
186,75,30,-DC-,D(C),Marllon,Marllon,Gonçalves Jerônimo Borges,337888
184,83,23,-DC-,D(C),Diego Costa,Diego Henrique,Costa Barbosa,383150
180,81,23,-DC-DR-,D(CR),Bruno Méndez,Bruno,Méndez,373514
188,76,25,-DC-,D(C),Rodrigues,Antônio Josenildo,Rodrigues de Oliveira,318734
192,87,35,-DC-,D(C),Gil,Carlos Gilberto,do Nascimento Silva,74768
182,78,27,-DC-,D(C),Gabriel Costa,Gabriel,Costa França,149772
180,81,35,-DC-DR-,D(CR),Gabriel Mercado,Gabriel,Mercado,35689
190,84,29,-DC-,D(C),Rafael Thyere,Rafael Thyere,De Albuquerque,136909
187,83,37,-DC-,D(C),Geromel,Pedro,Tonon Geromel,31975
187,82,23,-DC-,D(C),Gabriel Lacerda,Gabriel,Santos Cordeiro Lacerda,397854
184,74,21,-DC-,D(C),Leonardo Realpe,Leonardo,Realpe,397571
184,75,26,-DC-,D(C),Ignácio,Ignácio,da Silva Oliveira,364317
185,86,31,-DC-,D(C),Wálter Kannemann,Wálter,Kannemann,125450
187,78,21,-DC-,D(C),Lucas Fasson,Lucas,Fasson dos Santos,389162
186,83,31,-DC-,D(C),Wanderson,Wanderson,Santos Pereira,140977
184,82,27,-DC-,D(C),Éder Ferreira,Éder,Ferreira Graminho,337896
0,0,23,"",Defender,Gustavo Henrique,Gustavo Henrique,Santos,406569
186,95,25,-DC-,D(C),Zé Ivaldo,José,Ivaldo Almeida Silva,416910
181,76,19,-DC-,D(C),Kaiky,Kaiky,Fernandes Melo,416798
187,78,23,-DC-,D(C),Ruan,Ruan,Tressoldi Netto,349496
188,83,34,-DC-,D(C),Titi,Cristian,Chagas Tarouco,27763
195,87,22,-DC-,D(C),Robson Reis,Robson,Alves Reis,417656
183,79,27,-DC-,D(C),Juan Quintero,Juan,Quintero,280882
182,76,26,-DC-,D(C),Benjamín Kuscevic,Benjamín,Kuscevic,406287
188,81,22,-DC-,D(C),Pedro Henrique,Pedro Henrique,Alves Santana,398952
184,81,31,-DC-,D(C),Bruno Alves,Bruno Fabiano,Alves,101478
185,92,22,-DC-,D(C),Natan,Natan,Bernardo de Souza,402206
182,90,31,-DC-,D(C),Luccas Claro,Luccas,Claro dos Santos,101460
189,96,21,"",Defender,Zé Vitor,José Vitor,Lima Cardoso,419078
190,77,21,-DC-,D(C),Luan Patrick,Luan Patrick,Wiedthäuper,389176
186,77,32,-DC-,D(C),Jackson,Jackson,de Souza,114150
190,80,36,-DC-,D(C),Kadu,Ricardo,Martins de Araújo,136084
190,83,31,-DC-,D(C),Joílson,Joílson,de Jesus Cardoso,102095
191,84,37,-DC-,D(C),Lucas Fonseca,Lucas Silva,Fonseca,114822
195,91,27,-DC-,D(C),Iago Maidana,Iago Justen,Maidana Martins,241824
188,85,24,-DC-,D(C),Lucas Ribeiro,Lucas,Ribeiro dos Santos,361995
0,0,23,-DC-,D(C),Jordan,Anderson Jordan,da Silva Cordeiro,417440
180,89,32,-DC-,D(C),Manoel,Manoel Messias,Silva Carvalho,75550
188,84,23,-DC-,D(C),Raul Gustavo,Raul Gustavo,Pereira Bicalho,406274
183,75,25,-DC-,D(C),Nicolás Hernández,Nicolás,Hernández,423520
182,86,27,"",Defender,Bueno,Wellington Daniel,Bueno,397567
188,81,33,-DC-,D(C),Anderson Conceição,Anderson,Conceição Benedito,102098
186,73,34,-DC-,D(C),Ligger,Ligger,Moreira Malaquias,397573
182,72,21,"",Defender,Noga,Gabriel,Rodrigues Noga,402895
185,75,30,-DC-,D(C),Cléberson,Cleberson,Martins de Souza,114853
190,93,29,-DC-,D(C),Laércio Soldá,Laércio,Soldá,403219
182,87,34,-DC-DR-,D(CR),Paulo Miranda,Jonathan,Doin,76880
190,82,22,"",Defender,Micael,Micael,dos Santos Silva,417543
183,76,21,"",Defender,César Haydar,César,Haydar,401062
188,93,35,-DC-,D(C),Rodrigo Moledo,Rodrigo Modesto,da Silva Moledo,80756
187,83,37,-DC-,D(C),Matheus Ferraz,Matheus,Ferraz Pereira,130433
191,88,32,-DC-,D(C),Tiago,Tiago,Pagnussat,238944
185,78,25,-DC-,D(C),Zé Ivaldo,José Ivaldo,Almeida Silva,320351
187,85,34,-DC-,D(C),Digão,Rodrigo Junior,Paula Silva,74477
183,70,25,-DC-,D(C),Ricardo Graça,Ricardo,Queiroz de Alencastro Graça,337298
186,80,32,-DC-,D(C),Fabio Sanches,Fabio,Pizarro Sanches,139584
191,85,30,-DC-,D(C),Felipe Aguilar,Felipe,Aguilar,318430
192,89,28,-DC-,D(C),David Duarte,David,de Duarte Macedo,279581
183,78,24,-DC-,D(C),Adryelson,Adryelson Shawann,Lima Silva,279515
188,77,33,-DC-,D(C),Gilvan,Gilvan,Souza Correa,341070
187,80,31,-DC-,D(C),Vitor Hugo,Vitor Hugo,Franchescoli de Souza,111227
184,80,35,-DC-,D(C),Anderson Martins,Anderson,Vieira Martins,40649
195,81,23,-DC-,D(C),Iago Mendonça,Iago,Pereira Mendonça,377099
193,82,36,-DC-,D(C),Rhodolfo,Luiz Rhodolfo,Dini Gaioto,29461
181,71,23,-DC-,D(C),Miranda,Matheus,dos Santos Miranda,358134
190,79,21,-DC-,D(C),Sousa,David,Sousa Albino,398408
184,75,34,-DC-DL-DR-,D(CLR),Ernando,Ernando,Rodrigues Lopes,31983
186,74,25,-DC-,D(C),Kanu,Victor Hugo,Soares dos Santos,337247
184,74,36,-DC-,D(C),Roger Carvalho,Roger,de Carvalho,80886
184,80,36,-DC-,D(C),Castán,Leandro,Castán da Silva,18139
188,83,34,-DC-,D(C),Rafael Vaz,Rafael,Vaz dos Santos,132298
184,81,34,-DC-,D(C),Werley,Werley,Ananias da Silva,74448
187,81,32,-DC-,D(C),Nathan Ribeiro,Nathan Otávio,Ribeiro,357136
184,78,28,-DC-,D(C),Rodolfo,Rodolfo,Filemon de Oliveira da Silva,397495
