ID,tackleWonTotal,tackleTotalAttempted,challengeLost
449,0.0,0.0,0.0
450,11.0,20.0,9.0
451,2.0,8.0,6.0
452,3.0,9.0,6.0
453,20.0,38.0,18.0
454,13.0,23.0,10.0
455,7.0,22.0,15.0
456,0.0,2.0,2.0
457,0.0,2.0,2.0
458,6.0,16.0,10.0
459,5.0,9.0,4.0
460,16.0,38.0,22.0
461,10.0,14.0,4.0
462,8.0,14.0,6.0
463,11.0,14.0,3.0
464,0.0,0.0,0.0
465,2.0,7.0,5.0
466,1.0,3.0,2.0
467,11.0,23.0,12.0
468,4.0,7.0,3.0
469,7.0,14.0,7.0
470,14.0,20.0,6.0
471,10.0,16.0,6.0
472,6.0,13.0,7.0
473,8.0,27.0,19.0
474,2.0,5.0,3.0
475,10.0,15.0,5.0
476,2.0,3.0,1.0
477,5.0,10.0,5.0
478,22.0,38.0,16.0
479,1.0,6.0,5.0
480,0.0,0.0,0.0
481,11.0,26.0,15.0
482,10.0,17.0,7.0
483,1.0,3.0,2.0
484,4.0,7.0,3.0
485,4.0,8.0,4.0
486,1.0,3.0,2.0
487,2.0,4.0,2.0
488,17.0,36.0,19.0
489,3.0,7.0,4.0
490,9.0,16.0,7.0
491,1.0,8.0,7.0
492,17.0,34.0,17.0
493,2.0,2.0,0.0
494,3.0,5.0,2.0
495,14.0,26.0,12.0
496,4.0,5.0,1.0
497,2.0,3.0,1.0
498,0.0,0.0,0.0
499,1.0,2.0,1.0
500,9.0,18.0,9.0
501,6.0,8.0,2.0
502,2.0,7.0,5.0
503,5.0,6.0,1.0
504,0.0,1.0,1.0
505,2.0,4.0,2.0
506,2.0,3.0,1.0
507,1.0,1.0,0.0
508,1.0,1.0,0.0
509,0.0,0.0,0.0
510,5.0,8.0,3.0
511,2.0,3.0,1.0
512,5.0,15.0,10.0
513,1.0,2.0,1.0
514,0.0,0.0,0.0
515,0.0,2.0,2.0
516,3.0,4.0,1.0
517,3.0,8.0,5.0
518,1.0,4.0,3.0
519,0.0,1.0,1.0
520,0.0,0.0,0.0
521,2.0,4.0,2.0
522,1.0,1.0,0.0
523,1.0,2.0,1.0
524,4.0,12.0,8.0
525,0.0,0.0,0.0
526,2.0,5.0,3.0
527,0.0,1.0,1.0
528,0.0,0.0,0.0
529,1.0,4.0,3.0
530,0.0,0.0,0.0
531,2.0,4.0,2.0
532,0.0,0.0,0.0
533,1.0,4.0,3.0
534,0.0,0.0,0.0
535,0.0,1.0,1.0
536,16.0,32.0,16.0
537,4.0,4.0,0.0
538,8.0,14.0,6.0
539,0.0,0.0,0.0
540,0.0,1.0,1.0
541,2.0,2.0,0.0
542,5.0,17.0,12.0
543,7.0,30.0,23.0
544,15.0,26.0,11.0
545,0.0,0.0,0.0
546,13.0,33.0,20.0
547,8.0,12.0,4.0
548,6.0,17.0,11.0
549,7.0,12.0,5.0
550,4.0,8.0,4.0
551,12.0,19.0,7.0
552,1.0,4.0,3.0
553,2.0,2.0,0.0
554,8.0,27.0,19.0
555,6.0,12.0,6.0
556,5.0,8.0,3.0
557,7.0,9.0,2.0
558,29.0,54.0,25.0
559,1.0,1.0,0.0
560,4.0,7.0,3.0
561,7.0,13.0,6.0
562,2.0,6.0,4.0
563,15.0,29.0,14.0
564,19.0,46.0,27.0
565,7.0,16.0,9.0
566,3.0,6.0,3.0
567,3.0,7.0,4.0
568,7.0,14.0,7.0
569,12.0,19.0,7.0
570,9.0,14.0,5.0
571,11.0,33.0,22.0
572,4.0,15.0,11.0
573,0.0,0.0,0.0
574,18.0,42.0,24.0
575,6.0,9.0,3.0
576,4.0,6.0,2.0
577,16.0,37.0,21.0
578,4.0,7.0,3.0
579,1.0,2.0,1.0
580,0.0,1.0,1.0
581,12.0,21.0,9.0
582,9.0,34.0,25.0
583,9.0,18.0,9.0
584,9.0,14.0,5.0
585,11.0,18.0,7.0
586,2.0,8.0,6.0
587,9.0,22.0,13.0
588,0.0,4.0,4.0
589,2.0,4.0,2.0
590,17.0,37.0,20.0
591,2.0,3.0,1.0
592,5.0,9.0,4.0
593,15.0,29.0,14.0
594,2.0,4.0,2.0
595,3.0,5.0,2.0
596,22.0,49.0,27.0
597,2.0,2.0,0.0
598,1.0,4.0,3.0
599,0.0,0.0,0.0
600,1.0,4.0,3.0
601,3.0,8.0,5.0
602,1.0,3.0,2.0
603,5.0,6.0,1.0
604,1.0,2.0,1.0
605,7.0,18.0,11.0
606,17.0,32.0,15.0
607,2.0,7.0,5.0
608,1.0,6.0,5.0
609,21.0,43.0,22.0
610,0.0,1.0,1.0
611,3.0,4.0,1.0
612,16.0,26.0,10.0
613,12.0,16.0,4.0
614,4.0,8.0,4.0
615,1.0,2.0,1.0
616,9.0,16.0,7.0
617,1.0,2.0,1.0
618,2.0,8.0,6.0
619,1.0,3.0,2.0
620,7.0,17.0,10.0
621,2.0,13.0,11.0
622,0.0,0.0,0.0
623,0.0,0.0,0.0
624,5.0,10.0,5.0
625,1.0,2.0,1.0
626,0.0,2.0,2.0
627,9.0,14.0,5.0
628,8.0,21.0,13.0
629,5.0,11.0,6.0
630,4.0,14.0,10.0
631,2.0,2.0,0.0
632,0.0,0.0,0.0
633,2.0,3.0,1.0
634,0.0,0.0,0.0
635,0.0,0.0,0.0
636,7.0,12.0,5.0
637,0.0,0.0,0.0
638,1.0,1.0,0.0
639,0.0,1.0,1.0
640,0.0,0.0,0.0
641,0.0,3.0,3.0
642,4.0,9.0,5.0
643,1.0,1.0,0.0
644,0.0,0.0,0.0
645,0.0,1.0,1.0
646,1.0,1.0,0.0
647,0.0,0.0,0.0
648,0.0,0.0,0.0
649,2.0,2.0,0.0
650,0.0,0.0,0.0
651,3.0,8.0,5.0
652,1.0,1.0,0.0
653,1.0,3.0,2.0
654,0.0,0.0,0.0
655,11.0,18.0,7.0
656,4.0,9.0,5.0
657,1.0,4.0,3.0
658,2.0,2.0,0.0
659,1.0,1.0,0.0
660,11.0,20.0,9.0
661,15.0,32.0,17.0
662,7.0,9.0,2.0
663,16.0,34.0,18.0
664,1.0,2.0,1.0
665,2.0,6.0,4.0
666,1.0,2.0,1.0
667,14.0,21.0,7.0
668,14.0,34.0,20.0
669,1.0,1.0,0.0
670,5.0,10.0,5.0
671,1.0,1.0,0.0
672,0.0,0.0,0.0
673,1.0,1.0,0.0
674,5.0,6.0,1.0
675,15.0,26.0,11.0
676,35.0,71.0,36.0
677,4.0,15.0,11.0
678,2.0,2.0,0.0
679,1.0,2.0,1.0
680,2.0,3.0,1.0
681,21.0,32.0,11.0
682,3.0,4.0,1.0
683,4.0,12.0,8.0
684,9.0,15.0,6.0
685,4.0,5.0,1.0
686,27.0,42.0,15.0
687,1.0,3.0,2.0
688,0.0,0.0,0.0
689,3.0,5.0,2.0
690,24.0,50.0,26.0
