ID,dribbleLost,dribbleTotal,dribbleWon
316,23.0,52.0,29.0
317,17.0,37.0,20.0
318,7.0,17.0,10.0
319,21.0,40.0,19.0
320,16.0,46.0,30.0
321,3.0,12.0,9.0
322,27.0,46.0,19.0
323,7.0,11.0,4.0
324,1.0,3.0,2.0
325,2.0,6.0,4.0
326,8.0,14.0,6.0
327,4.0,7.0,3.0
328,20.0,33.0,13.0
329,17.0,28.0,11.0
330,4.0,5.0,1.0
331,38.0,76.0,38.0
332,31.0,56.0,25.0
333,4.0,7.0,3.0
334,3.0,9.0,6.0
335,10.0,18.0,8.0
336,10.0,17.0,7.0
337,50.0,91.0,41.0
338,2.0,3.0,1.0
339,5.0,15.0,10.0
340,3.0,14.0,11.0
341,3.0,10.0,7.0
342,14.0,23.0,9.0
343,32.0,67.0,35.0
344,3.0,3.0,0.0
345,9.0,26.0,17.0
346,8.0,18.0,10.0
347,1.0,2.0,1.0
348,3.0,7.0,4.0
349,37.0,59.0,22.0
350,22.0,59.0,37.0
351,15.0,31.0,16.0
352,10.0,17.0,7.0
353,1.0,8.0,7.0
354,7.0,18.0,11.0
355,5.0,5.0,0.0
356,22.0,38.0,16.0
357,17.0,27.0,10.0
358,5.0,6.0,1.0
359,4.0,13.0,9.0
360,0.0,0.0,0.0
361,2.0,9.0,7.0
362,14.0,25.0,11.0
363,3.0,3.0,0.0
364,4.0,11.0,7.0
365,36.0,69.0,33.0
366,2.0,3.0,1.0
367,0.0,1.0,1.0
368,31.0,58.0,27.0
369,9.0,17.0,8.0
370,2.0,5.0,3.0
371,9.0,19.0,10.0
372,1.0,5.0,4.0
373,20.0,31.0,11.0
374,12.0,23.0,11.0
375,1.0,1.0,0.0
376,24.0,43.0,19.0
377,2.0,2.0,0.0
378,13.0,24.0,11.0
379,8.0,20.0,12.0
380,11.0,23.0,12.0
381,6.0,9.0,3.0
382,3.0,4.0,1.0
383,5.0,10.0,5.0
384,9.0,16.0,7.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,7.0,13.0,6.0
388,7.0,13.0,6.0
389,8.0,11.0,3.0
390,9.0,17.0,8.0
391,7.0,14.0,7.0
392,0.0,2.0,2.0
393,2.0,2.0,0.0
394,8.0,17.0,9.0
395,11.0,26.0,15.0
396,5.0,9.0,4.0
397,0.0,0.0,0.0
398,8.0,15.0,7.0
399,1.0,2.0,1.0
400,0.0,0.0,0.0
401,3.0,8.0,5.0
402,0.0,0.0,0.0
403,0.0,2.0,2.0
404,5.0,6.0,1.0
405,2.0,4.0,2.0
406,0.0,0.0,0.0
407,3.0,3.0,0.0
408,8.0,12.0,4.0
409,0.0,1.0,1.0
410,0.0,0.0,0.0
411,2.0,3.0,1.0
412,0.0,0.0,0.0
413,11.0,15.0,4.0
414,0.0,1.0,1.0
415,0.0,3.0,3.0
416,0.0,0.0,0.0
417,4.0,4.0,0.0
418,2.0,3.0,1.0
419,1.0,1.0,0.0
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,1.0,1.0,0.0
423,2.0,2.0,0.0
424,0.0,4.0,4.0
425,1.0,2.0,1.0
426,1.0,2.0,1.0
427,11.0,43.0,32.0
428,25.0,49.0,24.0
429,0.0,0.0,0.0
430,37.0,94.0,57.0
431,11.0,22.0,11.0
432,39.0,91.0,52.0
433,8.0,26.0,18.0
434,2.0,5.0,3.0
435,10.0,22.0,12.0
436,19.0,45.0,26.0
437,16.0,65.0,49.0
438,30.0,61.0,31.0
439,6.0,10.0,4.0
440,1.0,8.0,7.0
441,27.0,72.0,45.0
442,34.0,80.0,46.0
443,1.0,3.0,2.0
444,42.0,70.0,28.0
445,20.0,47.0,27.0
446,7.0,9.0,2.0
447,27.0,52.0,25.0
448,16.0,38.0,22.0
449,2.0,10.0,8.0
450,10.0,23.0,13.0
451,2.0,2.0,0.0
452,10.0,17.0,7.0
453,47.0,81.0,34.0
454,27.0,53.0,26.0
455,2.0,5.0,3.0
456,6.0,12.0,6.0
457,7.0,17.0,10.0
458,20.0,36.0,16.0
459,3.0,9.0,6.0
460,36.0,91.0,55.0
461,14.0,27.0,13.0
462,9.0,20.0,11.0
463,15.0,39.0,24.0
464,1.0,1.0,0.0
465,12.0,21.0,9.0
466,2.0,5.0,3.0
467,31.0,61.0,30.0
468,10.0,21.0,11.0
469,4.0,12.0,8.0
470,1.0,9.0,8.0
471,11.0,23.0,12.0
472,27.0,51.0,24.0
473,21.0,56.0,35.0
474,1.0,3.0,2.0
475,3.0,8.0,5.0
476,4.0,7.0,3.0
477,12.0,27.0,15.0
478,16.0,28.0,12.0
479,0.0,0.0,0.0
480,0.0,0.0,0.0
481,10.0,25.0,15.0
482,7.0,18.0,11.0
483,0.0,1.0,1.0
484,2.0,8.0,6.0
485,6.0,19.0,13.0
486,2.0,5.0,3.0
487,0.0,3.0,3.0
488,6.0,21.0,15.0
