ID,turnover,dispossessed
451,11.0,7.0
452,30.0,20.0
453,62.0,37.0
454,104.0,86.0
455,34.0,12.0
456,34.0,11.0
457,6.0,5.0
458,34.0,12.0
459,16.0,11.0
460,59.0,66.0
461,41.0,20.0
462,28.0,19.0
463,77.0,37.0
464,3.0,2.0
465,31.0,4.0
466,11.0,10.0
467,72.0,38.0
468,26.0,10.0
469,16.0,3.0
470,31.0,15.0
471,11.0,8.0
472,41.0,16.0
473,111.0,67.0
474,7.0,5.0
475,12.0,9.0
476,15.0,3.0
477,31.0,12.0
478,52.0,22.0
479,0.0,1.0
480,1.0,2.0
481,54.0,29.0
482,41.0,25.0
483,7.0,16.0
484,6.0,3.0
485,37.0,11.0
486,13.0,6.0
487,23.0,4.0
488,45.0,16.0
489,28.0,11.0
490,47.0,22.0
491,11.0,5.0
492,53.0,35.0
493,4.0,2.0
494,13.0,4.0
495,47.0,19.0
496,13.0,14.0
497,0.0,0.0
498,3.0,3.0
499,5.0,2.0
500,16.0,12.0
501,39.0,16.0
502,13.0,9.0
503,29.0,10.0
504,1.0,2.0
505,8.0,10.0
506,0.0,0.0
507,1.0,3.0
508,2.0,4.0
509,3.0,0.0
510,31.0,13.0
511,14.0,9.0
512,25.0,9.0
513,15.0,7.0
514,2.0,1.0
515,14.0,13.0
516,9.0,1.0
517,6.0,2.0
518,5.0,5.0
519,1.0,3.0
520,3.0,1.0
521,5.0,4.0
522,8.0,2.0
523,2.0,0.0
524,25.0,6.0
525,7.0,4.0
526,1.0,1.0
527,0.0,0.0
528,2.0,1.0
529,3.0,2.0
530,3.0,2.0
531,3.0,3.0
532,5.0,0.0
533,3.0,0.0
534,1.0,1.0
535,0.0,1.0
536,44.0,37.0
537,4.0,3.0
538,37.0,7.0
539,6.0,2.0
540,15.0,8.0
541,14.0,5.0
542,35.0,17.0
543,95.0,30.0
544,80.0,37.0
545,2.0,0.0
546,39.0,34.0
547,29.0,13.0
548,30.0,13.0
549,91.0,59.0
550,11.0,11.0
551,68.0,63.0
552,4.0,2.0
553,0.0,0.0
554,17.0,15.0
555,43.0,26.0
556,14.0,5.0
557,25.0,5.0
558,91.0,59.0
559,2.0,2.0
560,6.0,5.0
561,48.0,25.0
562,13.0,3.0
563,43.0,40.0
564,94.0,42.0
565,21.0,20.0
566,11.0,2.0
567,7.0,0.0
568,52.0,40.0
569,31.0,16.0
570,35.0,22.0
571,31.0,18.0
572,47.0,25.0
573,1.0,2.0
574,40.0,31.0
575,24.0,12.0
576,10.0,9.0
577,98.0,44.0
578,16.0,11.0
579,1.0,1.0
580,2.0,1.0
581,51.0,34.0
582,55.0,23.0
583,41.0,13.0
584,26.0,17.0
585,74.0,20.0
586,27.0,14.0
587,90.0,72.0
588,4.0,7.0
589,33.0,10.0
590,79.0,65.0
591,20.0,10.0
592,11.0,6.0
593,72.0,38.0
594,8.0,6.0
595,7.0,3.0
596,108.0,49.0
597,10.0,7.0
598,5.0,1.0
599,2.0,2.0
600,2.0,6.0
601,56.0,33.0
602,2.0,2.0
603,20.0,4.0
604,5.0,1.0
605,49.0,23.0
606,58.0,43.0
607,7.0,6.0
608,24.0,7.0
609,76.0,24.0
610,3.0,3.0
611,3.0,2.0
612,29.0,20.0
613,26.0,21.0
614,21.0,10.0
615,2.0,0.0
616,32.0,22.0
617,2.0,0.0
618,9.0,7.0
619,2.0,1.0
620,21.0,12.0
621,24.0,6.0
622,1.0,0.0
623,2.0,0.0
624,9.0,2.0
625,2.0,1.0
626,6.0,3.0
627,41.0,21.0
628,24.0,11.0
629,18.0,8.0
630,15.0,11.0
631,6.0,0.0
632,3.0,1.0
633,3.0,2.0
634,1.0,0.0
635,0.0,2.0
636,17.0,11.0
637,6.0,2.0
638,2.0,1.0
639,1.0,2.0
640,4.0,0.0
641,0.0,0.0
642,9.0,8.0
643,2.0,3.0
644,3.0,0.0
645,4.0,2.0
646,2.0,1.0
647,3.0,0.0
648,2.0,0.0
649,20.0,12.0
650,2.0,0.0
651,13.0,8.0
652,1.0,2.0
653,4.0,0.0
654,1.0,0.0
655,35.0,24.0
656,27.0,26.0
657,19.0,10.0
658,7.0,2.0
659,0.0,0.0
660,45.0,30.0
661,69.0,32.0
662,41.0,20.0
663,75.0,33.0
664,4.0,4.0
665,27.0,6.0
666,8.0,2.0
667,13.0,9.0
668,67.0,32.0
669,3.0,2.0
670,38.0,12.0
671,2.0,1.0
672,2.0,2.0
673,1.0,0.0
674,23.0,11.0
675,78.0,58.0
676,100.0,51.0
677,43.0,25.0
678,2.0,0.0
679,3.0,0.0
680,2.0,3.0
681,56.0,24.0
682,15.0,11.0
683,34.0,23.0
684,13.0,6.0
685,43.0,13.0
686,134.0,71.0
687,1.0,0.0
688,2.0,2.0
689,7.0,2.0
690,59.0,33.0
691,48.0,34.0
692,8.0,3.0
693,9.0,3.0
694,49.0,31.0
695,85.0,38.0
696,31.0,30.0
697,9.0,3.0
698,49.0,18.0
699,36.0,9.0
700,23.0,18.0
701,0.0,1.0
702,8.0,11.0
703,21.0,15.0
704,18.0,10.0
705,18.0,8.0
706,30.0,10.0
707,2.0,2.0
708,36.0,20.0
709,20.0,11.0
710,14.0,7.0
711,91.0,38.0
712,4.0,2.0
713,12.0,9.0
714,61.0,44.0
715,0.0,2.0
716,18.0,9.0
717,45.0,10.0
718,16.0,9.0
719,9.0,1.0
720,22.0,8.0
721,68.0,28.0
722,26.0,14.0
723,15.0,9.0
724,18.0,7.0
725,48.0,26.0
726,49.0,32.0
727,3.0,4.0
728,28.0,13.0
729,9.0,13.0
730,2.0,2.0
731,2.0,2.0
732,21.0,11.0
733,7.0,7.0
734,12.0,4.0
