ID,foulGiven,foulCommitted
700,8.0,15.0
701,0.0,2.0
702,6.0,1.0
703,14.0,6.0
704,20.0,20.0
705,5.0,9.0
706,12.0,10.0
707,0.0,0.0
708,23.0,18.0
709,18.0,8.0
710,7.0,4.0
711,29.0,31.0
712,1.0,1.0
713,11.0,11.0
714,11.0,27.0
715,2.0,2.0
716,15.0,13.0
717,13.0,21.0
718,16.0,8.0
719,4.0,0.0
720,12.0,8.0
721,29.0,15.0
722,27.0,41.0
723,9.0,9.0
724,16.0,12.0
725,25.0,23.0
726,26.0,33.0
727,5.0,4.0
728,14.0,12.0
729,13.0,11.0
730,0.0,2.0
731,1.0,0.0
732,19.0,15.0
733,1.0,9.0
734,6.0,1.0
735,8.0,0.0
736,25.0,61.0
737,1.0,1.0
738,4.0,2.0
739,3.0,1.0
740,4.0,1.0
741,13.0,15.0
742,4.0,1.0
743,6.0,2.0
744,4.0,2.0
745,0.0,2.0
746,2.0,2.0
747,3.0,6.0
748,3.0,2.0
749,17.0,32.0
750,13.0,5.0
751,2.0,3.0
752,0.0,1.0
753,0.0,0.0
754,33.0,24.0
755,1.0,3.0
756,0.0,2.0
757,1.0,0.0
758,1.0,1.0
759,3.0,4.0
760,0.0,1.0
761,1.0,0.0
762,6.0,8.0
763,9.0,10.0
764,1.0,0.0
765,3.0,0.0
766,2.0,0.0
767,0.0,0.0
768,3.0,1.0
769,9.0,10.0
770,2.0,2.0
771,2.0,4.0
772,2.0,1.0
773,6.0,1.0
774,3.0,0.0
775,0.0,0.0
776,3.0,1.0
777,5.0,2.0
778,0.0,3.0
779,1.0,0.0
780,2.0,1.0
781,0.0,1.0
782,0.0,1.0
783,0.0,0.0
784,0.0,1.0
785,1.0,2.0
786,69.0,17.0
787,3.0,2.0
788,24.0,16.0
789,36.0,24.0
790,2.0,0.0
791,5.0,3.0
792,9.0,12.0
793,1.0,0.0
794,50.0,23.0
795,29.0,19.0
796,72.0,41.0
797,13.0,6.0
798,15.0,18.0
799,7.0,9.0
800,9.0,9.0
801,40.0,21.0
802,1.0,1.0
803,2.0,3.0
804,0.0,1.0
805,25.0,25.0
806,17.0,6.0
807,3.0,2.0
808,30.0,23.0
809,24.0,9.0
810,8.0,9.0
811,59.0,59.0
812,5.0,4.0
813,12.0,12.0
814,92.0,66.0
815,10.0,23.0
816,9.0,3.0
817,31.0,24.0
818,16.0,55.0
